gene,rate,dataset
YER016W,0.38545,Barton2009
YER015W,0.2808,Barton2009
YER020W,0.33836,Barton2009
YER026C,0.12159,Barton2009
YER025W,0.03478,Barton2009
YER021W,0.15546,Barton2009
YER023W,0.10416,Barton2009
YER027C,0.2278,Barton2009
YER022W,0.33037,Barton2009
YER001W,1.9881,Barton2009
YER013W,0.34071,Barton2009
YER031C,0.05861,Barton2009
YER017C,0.2273,Barton2009
YER037W,0.30839,Barton2009
YER029C,0.26584,Barton2009
YER034W,0.96378,Barton2009
YER035W,0.72067,Barton2009
YER044C,0.10519,Barton2009
YER042W,0.18469,Barton2009
YER046W,0.38122,Barton2009
YER038C,0.75468,Barton2009
YER043C,0.06589,Barton2009
YER040W,0.3309,Barton2009
YER028C,5.10463,Barton2009
YER058W,0.21041,Barton2009
YER062C,0.04036,Barton2009
YER008C,3.64106,Barton2009
YER052C,0.07175,Barton2009
YER063W,0.70656,Barton2009
YER067W,0.13011,Barton2009
YER072W,0.0159,Barton2009
YER059W,0.40018,Barton2009
YER051W,0.6745,Barton2009
YER049W,0.16425,Barton2009
YER047C,0.52874,Barton2009
YER033C,1.03731,Barton2009
YER068W,0.17051,Barton2009
YER079W,0.42399,Barton2009
YER071C,0.74561,Barton2009
YER064C,0.73617,Barton2009
YER041W,0.65999,Barton2009
YER066W,0.79581,Barton2009
YER045C,1.19983,Barton2009
YER078C,0.22007,Barton2009
YER080W,0.26737,Barton2009
YER086W,0.05877,Barton2009
YER082C,0.15749,Barton2009
YER081W,0.06027,Barton2009
YER090W,0.10251,Barton2009
YER070W,0.08651,Barton2009
YER089C,0.26832,Barton2009
YER092W,0.66921,Barton2009
YER087W,0.29569,Barton2009
YER099C,0.08801,Barton2009
YER085C,1.12669,Barton2009
YER095W,0.08587,Barton2009
YER091C,0.05469,Barton2009
YER100W,0.17699,Barton2009
YER103W,0.08444,Barton2009
YER088C,0.55654,Barton2009
YER094C,0.90329,Barton2009
YER101C,0.26286,Barton2009
YER107C,0.08764,Barton2009
YER115C,0.55852,Barton2009
YER112W,0.25817,Barton2009
YER106W,1.22256,Barton2009
YER098W,1.64265,Barton2009
YER104W,0.77648,Barton2009
YER120W,0.27261,Barton2009
YER116C,1.0688,Barton2009
YER119C,0.29631,Barton2009
YER118C,0.18058,Barton2009
YER113C,0.32765,Barton2009
YER126C,0.03725,Barton2009
YER122C,0.21463,Barton2009
YER124C,0.48086,Barton2009
YER127W,0.37369,Barton2009
YER123W,0.15549,Barton2009
YER128W,0.53272,Barton2009
YER114C,0.44775,Barton2009
YER093C,0.20705,Barton2009
YER110C,0.05523,Barton2009
YER130C,0.44638,Barton2009
YER125W,0.04266,Barton2009
YER141W,0.15495,Barton2009
YER142C,0.6065,Barton2009
YER143W,0.31809,Barton2009
YER140W,0.36425,Barton2009
YER146W,0.29217,Barton2009
YER148W,0.01255,Barton2009
YER145C,0.13074,Barton2009
YER105C,0.61396,Barton2009
YER150W,0.37918,Barton2009
YER111C,0.36637,Barton2009
YER149C,0.51298,Barton2009
YER144C,0.59551,Barton2009
YER153C,0.55631,Barton2009
YER159C,0.46728,Barton2009
YER147C,0.36057,Barton2009
YER129W,0.51642,Barton2009
YER156C,0.14993,Barton2009
YER154W,0.16114,Barton2009
YER165W,0.03602,Barton2009
YER158C,0.70648,Barton2009
YER170W,0.27575,Barton2009
YER136W,0.03134,Barton2009
YER174C,0.27175,Barton2009
YER175C,0.39066,Barton2009
YER168C,0.279,Barton2009
YER177W,0.02335,Barton2009
YER171W,0.03322,Barton2009
YER167W,0.36803,Barton2009
YER169W,0.24598,Barton2009
YFL005W,0.0144,Barton2009
YFL001W,0.4544,Barton2009
YER132C,0.54685,Barton2009
YFL010C,0.38783,Barton2009
YER164W,0.1621,Barton2009
YER173W,0.51903,Barton2009
YFL004W,0.20054,Barton2009
YFL014W,0.13713,Barton2009
YFL011W,0.1833,Barton2009
YFL012W,1.63659,Barton2009
YFL016C,0.17895,Barton2009
YFL009W,0.34852,Barton2009
YFL003C,1.85654,Barton2009
YFL017C,0.2948,Barton2009
YFL013C,0.55953,Barton2009
YER176W,0.46787,Barton2009
YFL028C,0.1092,Barton2009
YFL037W,0.01144,Barton2009
YFL029C,0.53177,Barton2009
YFL038C,0.00975,Barton2009
YFL026W,0.26131,Barton2009
YFL027C,0.49665,Barton2009
YFL045C,0.08861,Barton2009
YFL044C,0.27325,Barton2009
YFL046W,0.09726,Barton2009
YFL040W,0.19808,Barton2009
YER155C,0.33226,Barton2009
YFL025C,0.49092,Barton2009
YFL008W,0.19363,Barton2009
YFL041W,0.21969,Barton2009
YFR001W,0.17962,Barton2009
YFL047W,0.21351,Barton2009
YFL042C,0.41548,Barton2009
YFL048C,0.32503,Barton2009
YFL023W,0.89052,Barton2009
YFR003C,0.34459,Barton2009
YFR004W,0.02092,Barton2009
YFL049W,0.51327,Barton2009
YFR002W,0.1653,Barton2009
YFR007W,0.49852,Barton2009
YFR011C,0.20299,Barton2009
YFR005C,0.48213,Barton2009
YFR006W,0.3189,Barton2009
YER172C,0.40601,Barton2009
YFR010W,0.11986,Barton2009
YFR014C,0.27803,Barton2009
YFL024C,23.0467,Barton2009
YFR017C,0.46029,Barton2009
YFR027W,0.25416,Barton2009
YFL036W,0.2115,Barton2009
YFR028C,0.15195,Barton2009
YFR015C,0.07533,Barton2009
YFR032C,0.57108,Barton2009
YFR041C,0.39277,Barton2009
YFR042W,0.28956,Barton2009
YFR022W,0.34454,Barton2009
YFL050C,0.97266,Barton2009
YFR043C,0.76747,Barton2009
YFR039C,0.65436,Barton2009
YFR049W,0.37034,Barton2009
YFR037C,0.17634,Barton2009
YFR050C,0.10166,Barton2009
YFR029W,0.30795,Barton2009
YFR052W,0.16805,Barton2009
YFR031C,0.25913,Barton2009
YFR046C,0.90743,Barton2009
YFR047C,0.15635,Barton2009
YGL001C,0.11293,Barton2009
YFR048W,0.29321,Barton2009
YGL002W,0.34679,Barton2009
YFR044C,0.12631,Barton2009
YFR051C,0.17677,Barton2009
YGL003C,0.11903,Barton2009
YGL004C,0.65952,Barton2009
YGL011C,0.05846,Barton2009
YGL010W,0.41473,Barton2009
YGL012W,0.1467,Barton2009
YGL005C,0.47651,Barton2009
YGL015C,1.40058,Barton2009
YGL020C,0.39641,Barton2009
YGL017W,0.39598,Barton2009
YGL019W,0.05846,Barton2009
YGL018C,0.21115,Barton2009
YGL008C,0.06601,Barton2009
YGL027C,0.28075,Barton2009
YGL023C,0.43508,Barton2009
YGL037C,0.12588,Barton2009
YGL026C,0.19211,Barton2009
YGL028C,0.93823,Barton2009
YGL022W,0.08122,Barton2009
YGL039W,0.42461,Barton2009
YGL016W,0.23764,Barton2009
YGL013C,0.79322,Barton2009
YGL014W,1.13397,Barton2009
YGL047W,0.56106,Barton2009
YGL048C,0.01277,Barton2009
YGL044C,0.1404,Barton2009
YGL038C,2.25304,Barton2009
YGL058W,0.01757,Barton2009
YGL006W,0.49169,Barton2009
YGL061C,0.51005,Barton2009
YGL055W,0.11576,Barton2009
YGL057C,0.88225,Barton2009
YGL056C,0.21046,Barton2009
YGL063W,0.48948,Barton2009
YGL067W,0.28736,Barton2009
YGL070C,0.00835,Barton2009
YGL064C,0.41607,Barton2009
YGL068W,0.18729,Barton2009
YGL065C,0.32603,Barton2009
YGL079W,0.37732,Barton2009
YGL049C,0.47687,Barton2009
YGL078C,0.13895,Barton2009
YGL062W,0.05766,Barton2009
YGL036W,0.60197,Barton2009
YGL085W,0.31308,Barton2009
YGL089C,0.58196,Barton2009
YGL080W,0.14117,Barton2009
YGL071W,0.50998,Barton2009
YGL073W,0.43416,Barton2009
YGL084C,0.18802,Barton2009
YGL082W,0.28058,Barton2009
YGL081W,1.0202,Barton2009
YGL095C,0.24338,Barton2009
YGL096W,0.85107,Barton2009
YGL097W,0.28761,Barton2009
YGL101W,0.20951,Barton2009
YGL100W,0.13953,Barton2009
YGL106W,0.1105,Barton2009
YGL090W,0.82533,Barton2009
YGL105W,0.12129,Barton2009
YGL083W,0.90399,Barton2009
YGL108C,0.51728,Barton2009
YGL099W,0.11867,Barton2009
YFR016C,44.2244,Barton2009
YGL115W,0.06406,Barton2009
YGL104C,0.91713,Barton2009
YGL112C,0.09563,Barton2009
YGL107C,0.43484,Barton2009
YGL094C,0.16099,Barton2009
YGL119W,0.36839,Barton2009
YGL093W,1.77729,Barton2009
YGL114W,0.11868,Barton2009
YGL111W,0.49194,Barton2009
YGL110C,0.53554,Barton2009
YGL121C,0.3889,Barton2009
YGL117W,5.97895,Barton2009
YGL123W,0.03184,Barton2009
YGL127C,0.10738,Barton2009
YGL122C,0.25154,Barton2009
YGL124C,0.38186,Barton2009
YGL126W,0.366,Barton2009
YGL120C,0.04724,Barton2009
YGL135W,0.0293,Barton2009
YGL113W,0.63561,Barton2009
YGL130W,0.13697,Barton2009
YGL129C,0.33528,Barton2009
YGL136C,0.26432,Barton2009
YGL138C,0.82501,Barton2009
YGL147C,0.11937,Barton2009
YGL134W,1.49644,Barton2009
YGL146C,0.63078,Barton2009
YGL153W,0.49723,Barton2009
YGL142C,0.47322,Barton2009
YGL145W,0.51903,Barton2009
YGL157W,0.39288,Barton2009
YGL155W,0.38678,Barton2009
YGL092W,0.58776,Barton2009
YGL154C,1.8104,Barton2009
YGL144C,0.25841,Barton2009
YGL161C,0.39141,Barton2009
YGL159W,0.65598,Barton2009
YGL162W,0.54532,Barton2009
YGL160W,0.51094,Barton2009
YGL133W,0.51024,Barton2009
YGL164C,0.37166,Barton2009
YGL169W,0.36944,Barton2009
YGL166W,0.74834,Barton2009
YGL175C,0.73977,Barton2009
YGL174W,0.87952,Barton2009
YGL172W,0.34253,Barton2009
YGL171W,0.20814,Barton2009
YGL158W,0.94891,Barton2009
YGL131C,0.74391,Barton2009
YGL170C,0.78238,Barton2009
YGL184C,0.16767,Barton2009
YGL181W,0.34134,Barton2009
YGL191W,0.05452,Barton2009
YGL156W,0.15208,Barton2009
YGL185C,0.61429,Barton2009
YGL180W,0.22739,Barton2009
YGL190C,0.06081,Barton2009
YGL151W,2.87926,Barton2009
YGL194C,0.10651,Barton2009
YGL220W,0.24497,Barton2009
YGL219C,0.29114,Barton2009
YGL224C,0.21738,Barton2009
YGL222C,0.5196,Barton2009
YGL186C,5.18632,Barton2009
YGL192W,0.37394,Barton2009
YGL223C,0.6302,Barton2009
YGL231C,0.30808,Barton2009
YGL230C,1.18893,Barton2009
YGL242C,0.16509,Barton2009
YGL237C,0.48443,Barton2009
YGL228W,0.50674,Barton2009
YGL247W,0.7013,Barton2009
YGL246C,0.22775,Barton2009
YGL225W,7.56544,Barton2009
YGL243W,0.68208,Barton2009
YGL248W,0.2811,Barton2009
YGL233W,0.22099,Barton2009
YGL229C,0.62424,Barton2009
YGL244W,0.68276,Barton2009
YGL253W,0.06981,Barton2009
YGL252C,0.1436,Barton2009
YGR002C,0.27366,Barton2009
YGL254W,1.1518,Barton2009
YGL234W,0.08479,Barton2009
YGL197W,0.27621,Barton2009
YGL206C,0.07685,Barton2009
YGR005C,0.09513,Barton2009
YGR008C,1.98336,Barton2009
YGL249W,1.11374,Barton2009
YGR007W,0.34693,Barton2009
YGR004W,0.32062,Barton2009
YGL238W,0.11836,Barton2009
YGR010W,0.06182,Barton2009
YGR016W,0.34244,Barton2009
YGR015C,0.46808,Barton2009
YGR003W,0.5412,Barton2009
YGR020C,0.08911,Barton2009
YGR012W,0.21203,Barton2009
YGR009C,0.50241,Barton2009
YGR026W,0.23315,Barton2009
YGL241W,0.5277,Barton2009
YGR013W,0.68577,Barton2009
YGR019W,1.06196,Barton2009
YGR030C,0.89888,Barton2009
YGR037C,0.10145,Barton2009
YGR036C,0.27541,Barton2009
YGR031W,0.51926,Barton2009
YGR038W,0.15855,Barton2009
YGR043C,0.14585,Barton2009
YGR049W,0.19943,Barton2009
YGR042W,1.08379,Barton2009
YGR048W,0.19465,Barton2009
YGR040W,0.02195,Barton2009
YGR046W,0.23679,Barton2009
YGR053C,0.85713,Barton2009
YGR028W,50.1177,Barton2009
YGR058W,0.31584,Barton2009
YGR060W,0.02935,Barton2009
YGR062C,0.35843,Barton2009
YGR041W,1.06556,Barton2009
YGR063C,0.11926,Barton2009
YGR044C,1.14005,Barton2009
YGR054W,0.21455,Barton2009
YGR014W,1.70902,Barton2009
YGR074W,0.09089,Barton2009
YGR059W,0.39834,Barton2009
YGR075C,0.41687,Barton2009
YGR072W,0.52589,Barton2009
YGR056W,0.32632,Barton2009
YGR047C,0.1708,Barton2009
YGR065C,0.22929,Barton2009
YGR078C,0.18205,Barton2009
YGR082W,0.05334,Barton2009
YGR076C,0.16085,Barton2009
YGR081C,0.65848,Barton2009
YGR068C,0.33714,Barton2009
YGR085C,0.03272,Barton2009
YGR071C,0.75969,Barton2009
YGR080W,0.43204,Barton2009
YGR079W,0.62691,Barton2009
YGR084C,0.35213,Barton2009
YGR070W,0.52641,Barton2009
YGR077C,0.72693,Barton2009
YGR096W,0.30443,Barton2009
YGR032W,0.10085,Barton2009
YGR093W,0.51826,Barton2009
YGR083C,0.76601,Barton2009
YGR105W,0.26005,Barton2009
YGR104C,0.49814,Barton2009
YGR102C,0.8021,Barton2009
YGR091W,0.97096,Barton2009
YGR106C,0.55368,Barton2009
YGR103W,0.19869,Barton2009
YGR101W,1.6489,Barton2009
YGR094W,0.1172,Barton2009
YGR109C,0.39153,Barton2009
YGR100W,0.14175,Barton2009
YGR089W,0.62592,Barton2009
YGR111W,0.48778,Barton2009
YGR112W,0.49883,Barton2009
YGL195W,0.27272,Barton2009
YGR113W,0.41969,Barton2009
YGR126W,0.30724,Barton2009
YGR127W,0.61914,Barton2009
YGR131W,0.35719,Barton2009
YGR121C,50.1212,Barton2009
YGR132C,0.06595,Barton2009
YGR133W,0.75371,Barton2009
YGR129W,0.9189,Barton2009
YGR135W,0.06002,Barton2009
YGR136W,0.37781,Barton2009
YGR147C,0.65511,Barton2009
YGR128C,0.39594,Barton2009
YGR146C,0.32154,Barton2009
YGR152C,0.20626,Barton2009
YGR149W,0.17849,Barton2009
YGR156W,0.6117,Barton2009
YGR158C,0.48928,Barton2009
YGR163W,0.03937,Barton2009
YGR165W,0.20613,Barton2009
YGR142W,5.61831,Barton2009
YGR145W,0.15914,Barton2009
YGR159C,0.11699,Barton2009
YGR116W,0.07205,Barton2009
YGR098C,0.41846,Barton2009
YGR167W,0.37531,Barton2009
YGR166W,0.54211,Barton2009
YGR174C,0.18859,Barton2009
YGR168C,0.7827,Barton2009
YGR169C,0.64516,Barton2009
YGR173W,0.04109,Barton2009
YGR157W,0.31166,Barton2009
YGR171C,0.44383,Barton2009
YGR162W,0.51847,Barton2009
YGR178C,0.30013,Barton2009
YGR185C,0.76393,Barton2009
YGR187C,0.30697,Barton2009
YGR180C,0.14556,Barton2009
YGR191W,0.18068,Barton2009
YGR195W,0.04958,Barton2009
YGR179C,0.59422,Barton2009
YGR193C,0.56416,Barton2009
YGR170W,0.2946,Barton2009
YGR150C,3.67233,Barton2009
YGR203W,0.31645,Barton2009
YGR206W,0.40205,Barton2009
YGR207C,0.15037,Barton2009
YGR202C,0.18587,Barton2009
YGR208W,0.32695,Barton2009
YGR209C,0.1084,Barton2009
YGR205W,0.27253,Barton2009
YGR215W,0.20613,Barton2009
YGR194C,0.34299,Barton2009
YGR220C,0.17715,Barton2009
YGR199W,0.32538,Barton2009
YGR232W,0.2138,Barton2009
YGR222W,0.71808,Barton2009
YGR196C,1.07103,Barton2009
YGR227W,0.20547,Barton2009
YGR230W,1.50582,Barton2009
YGR235C,0.49087,Barton2009
YGR234W,0.28694,Barton2009
YGR212W,0.8063,Barton2009
YGR213C,0.61712,Barton2009
YGR198W,0.85568,Barton2009
YGR204W,0.09197,Barton2009
YGR192C,50.0061,Barton2009
YGR243W,0.14759,Barton2009
YGR229C,0.6555,Barton2009
YGR239C,0.80403,Barton2009
YGR248W,0.36036,Barton2009
YGR247W,0.19832,Barton2009
YGR237C,0.315,Barton2009
YGR221C,1.11817,Barton2009
YGR241C,0.55546,Barton2009
YGR244C,0.13576,Barton2009
YGR251W,0.6251,Barton2009
YGR246C,0.25448,Barton2009
YGR252W,0.15121,Barton2009
YGR253C,0.0357,Barton2009
YGR245C,0.16727,Barton2009
YGR249W,0.43884,Barton2009
YGR240C,0.039,Barton2009
YGR254W,0.05163,Barton2009
YGR255C,0.13091,Barton2009
YGR250C,0.33234,Barton2009
YGR267C,0.02497,Barton2009
YGR257C,0.23235,Barton2009
YGR262C,0.21573,Barton2009
YGR268C,0.40056,Barton2009
YGR263C,0.44587,Barton2009
YGR284C,0.07384,Barton2009
YGR266W,0.31975,Barton2009
YGR277C,0.49155,Barton2009
YGR256W,2.12661,Barton2009
YGR276C,0.31208,Barton2009
YGR261C,0.32238,Barton2009
YHL003C,0.15016,Barton2009
YGR264C,0.15007,Barton2009
YHL004W,0.3339,Barton2009
YGR283C,0.5788,Barton2009
YGR285C,0.12483,Barton2009
YHL015W,2.0e-05,Barton2009
YHL010C,0.37104,Barton2009
YHL011C,0.01962,Barton2009
YGR238C,1.93969,Barton2009
YHL013C,0.42388,Barton2009
YHL008C,0.47212,Barton2009
YHL014C,0.23156,Barton2009
YHL012W,1.03841,Barton2009
YHL020C,0.4335,Barton2009
YHL009C,4.95377,Barton2009
YHL031C,0.08145,Barton2009
YHL019C,0.32898,Barton2009
YHL021C,0.20408,Barton2009
YHL033C,0.0891,Barton2009
YHL022C,0.52573,Barton2009
YHL016C,0.13388,Barton2009
YHL034C,0.15157,Barton2009
YHL036W,0.19404,Barton2009
YHR013C,0.10281,Barton2009
YHR008C,0.07587,Barton2009
YHL032C,0.17323,Barton2009
YHR005C,0.16429,Barton2009
YHR003C,0.3119,Barton2009
YHR007C,0.0851,Barton2009
YHR017W,0.48653,Barton2009
YHR006W,0.66446,Barton2009
YHR018C,0.07618,Barton2009
YHL007C,1.11783,Barton2009
YHR024C,0.15603,Barton2009
YHR025W,0.06823,Barton2009
YHR019C,0.13585,Barton2009
YHL038C,0.5835,Barton2009
YHR026W,0.02835,Barton2009
YHR029C,0.55648,Barton2009
YHR038W,0.33516,Barton2009
YHR046C,0.17585,Barton2009
YHR030C,0.1411,Barton2009
YHR034C,0.65118,Barton2009
YHR059W,0.43174,Barton2009
YHR049W,0.1062,Barton2009
YHR058C,0.1962,Barton2009
YHR028C,0.33816,Barton2009
YHR037W,0.12094,Barton2009
YHR032W,0.25131,Barton2009
YHR036W,0.50454,Barton2009
YHR060W,0.68463,Barton2009
YGR270W,0.8875,Barton2009
YHR062C,0.17326,Barton2009
YHR061C,0.52157,Barton2009
YHL023C,0.38703,Barton2009
YHR063C,0.28904,Barton2009
YHR066W,0.18467,Barton2009
YHR027C,0.13094,Barton2009
YHR067W,0.69051,Barton2009
YHR069C,0.12712,Barton2009
YHR068W,0.06069,Barton2009
YHR087W,0.19967,Barton2009
YHR075C,0.54589,Barton2009
YHR083W,0.61713,Barton2009
YHR085W,0.31167,Barton2009
YHR090C,0.24526,Barton2009
YHL035C,0.66509,Barton2009
YHR074W,0.07041,Barton2009
YHR084W,0.32031,Barton2009
YHR086W,0.46314,Barton2009
YHR078W,0.26752,Barton2009
YHR073W,0.26346,Barton2009
YHR088W,3.38738,Barton2009
YHR100C,0.2293,Barton2009
YHL030W,0.35273,Barton2009
YHR091C,0.51245,Barton2009
YHR105W,0.47471,Barton2009
YHR096C,0.12393,Barton2009
YHR104W,0.11559,Barton2009
YHR107C,0.06319,Barton2009
YHR110W,0.36457,Barton2009
YHR106W,0.24368,Barton2009
YHR108W,0.25202,Barton2009
YHR111W,0.29524,Barton2009
YHR113W,0.21099,Barton2009
YHR112C,0.1447,Barton2009
YHR103W,0.44039,Barton2009
YHR121W,0.14097,Barton2009
YHR114W,0.25782,Barton2009
YHR118C,0.38673,Barton2009
YHR094C,50.0816,Barton2009
YHR109W,0.80352,Barton2009
YHR122W,0.272,Barton2009
YHR102W,0.36943,Barton2009
YHR129C,0.23364,Barton2009
YHR127W,0.78086,Barton2009
YHR136C,1.48352,Barton2009
YHR132C,0.29714,Barton2009
YHR126C,1.08081,Barton2009
YHR133C,0.58333,Barton2009
YHR134W,0.54846,Barton2009
YHR138C,0.44648,Barton2009
YHR120W,0.34155,Barton2009
YHR147C,0.23448,Barton2009
YHR139C,0.27468,Barton2009
YHR143W,1.38257,Barton2009
YHR137W,0.29318,Barton2009
YHR148W,0.23345,Barton2009
YHR151C,0.42273,Barton2009
YHR146W,0.67218,Barton2009
YHR144C,0.12582,Barton2009
YHR162W,0.06641,Barton2009
YHR152W,0.6442,Barton2009
YHR157W,0.88129,Barton2009
YHR153C,0.78859,Barton2009
YHR156C,0.91204,Barton2009
YHR124W,4.97571,Barton2009
YHR159W,0.8186,Barton2009
YHR160C,1.35481,Barton2009
YHR167W,0.33114,Barton2009
YHR161C,0.5153,Barton2009
YHR149C,0.76507,Barton2009
YHR169W,0.10728,Barton2009
YHR166C,0.1563,Barton2009
YHR168W,0.46321,Barton2009
YHR175W,0.25936,Barton2009
YHR174W,0.07655,Barton2009
YHR171W,0.41536,Barton2009
YHR170W,0.09588,Barton2009
YHR154W,0.76229,Barton2009
YHR158C,0.50869,Barton2009
YHR185C,0.28717,Barton2009
YHR177W,0.96644,Barton2009
YHR187W,0.30499,Barton2009
YHR189W,0.23539,Barton2009
YHR191C,0.32532,Barton2009
YHR193C,0.05595,Barton2009
YHR192W,0.3874,Barton2009
YHR190W,0.08414,Barton2009
YHR178W,0.20157,Barton2009
YHR184W,0.39445,Barton2009
YHR182W,0.84446,Barton2009
YHR188C,0.26486,Barton2009
YHR195W,0.70948,Barton2009
YHR198C,0.48494,Barton2009
YHR164C,0.4769,Barton2009
YHR194W,0.17768,Barton2009
YHR200W,0.12712,Barton2009
YHR201C,0.44678,Barton2009
YHR196W,0.47929,Barton2009
YHR199C,0.32188,Barton2009
YHR183W,68.9912,Barton2009
YHR202W,0.39736,Barton2009
YHR208W,0.07484,Barton2009
YHR197W,0.39418,Barton2009
YIL003W,0.19598,Barton2009
YHR206W,0.18801,Barton2009
YIL007C,0.3476,Barton2009
YIL010W,0.52809,Barton2009
YIL006W,0.26185,Barton2009
YHR205W,0.14872,Barton2009
YIL002C,0.10113,Barton2009
YIL001W,0.35673,Barton2009
YIL016W,0.4135,Barton2009
YIL011W,0.58398,Barton2009
YHR204W,0.58933,Barton2009
YIL021W,0.07113,Barton2009
YHR186C,0.14606,Barton2009
YIL020C,0.18088,Barton2009
YHR207C,2.32373,Barton2009
YIL024C,0.14387,Barton2009
YIL005W,0.58605,Barton2009
YIL019W,0.45134,Barton2009
YIL034C,0.19957,Barton2009
YIL035C,0.1021,Barton2009
YIL033C,0.13471,Barton2009
YIL017C,0.2541,Barton2009
YIL023C,0.56286,Barton2009
YIL040W,0.31604,Barton2009
YIL022W,0.13001,Barton2009
YIL041W,0.11806,Barton2009
YIL039W,0.30095,Barton2009
YIL042C,0.22073,Barton2009
YIL036W,0.74164,Barton2009
YIL049W,0.35676,Barton2009
YIL044C,0.45137,Barton2009
YHR165C,0.26345,Barton2009
YIL050W,0.51659,Barton2009
YIL038C,0.30859,Barton2009
YIL026C,0.31761,Barton2009
YIL062C,0.14711,Barton2009
YIL046W,0.31895,Barton2009
YIL037C,0.97753,Barton2009
YIL065C,0.03245,Barton2009
YIL064W,0.35193,Barton2009
YIL056W,0.27795,Barton2009
YIL063C,0.73108,Barton2009
YIL055C,0.5206,Barton2009
YIL013C,0.23628,Barton2009
YIL071C,0.55431,Barton2009
YIL031W,0.60484,Barton2009
YIL067C,0.26519,Barton2009
YIL066C,0.09318,Barton2009
YIL072W,0.28695,Barton2009
YIL074C,0.07765,Barton2009
YIL084C,0.10565,Barton2009
YIL085C,0.37963,Barton2009
YIL087C,0.13053,Barton2009
YIL098C,0.4446,Barton2009
YIL096C,0.29285,Barton2009
YIL094C,0.07142,Barton2009
YIL093C,0.265,Barton2009
YIL104C,0.34945,Barton2009
YIL097W,0.34876,Barton2009
YIL110W,0.49112,Barton2009
YIL105C,0.14813,Barton2009
YIL091C,0.30912,Barton2009
YIL075C,0.10603,Barton2009
YIL113W,0.76076,Barton2009
YIL107C,0.19021,Barton2009
YIL116W,0.26054,Barton2009
YIL118W,0.07817,Barton2009
YIL108W,0.21923,Barton2009
YIL114C,0.52187,Barton2009
YIL117C,0.85599,Barton2009
YIL095W,0.57249,Barton2009
YIL109C,0.08028,Barton2009
YIL092W,1.85677,Barton2009
YIL124W,0.24429,Barton2009
YIL127C,0.33023,Barton2009
YIL123W,0.42675,Barton2009
YIL134W,0.37448,Barton2009
YIL132C,0.46453,Barton2009
YIL136W,0.18573,Barton2009
YIL125W,0.07545,Barton2009
YIL112W,0.6972,Barton2009
YIL135C,0.33563,Barton2009
YIL142W,0.04163,Barton2009
YIL138C,0.17143,Barton2009
YIL139C,0.3176,Barton2009
YIL152W,0.57573,Barton2009
YIL154C,0.20855,Barton2009
YIL153W,0.23234,Barton2009
YIL157C,0.28488,Barton2009
YIL158W,0.64767,Barton2009
YIL146C,0.38988,Barton2009
YIL140W,0.38794,Barton2009
YIL144W,0.23839,Barton2009
YIL150C,0.31129,Barton2009
YIL126W,0.20529,Barton2009
YIL160C,0.13288,Barton2009
YIL143C,0.08132,Barton2009
YIL155C,0.08643,Barton2009
YIR001C,0.4458,Barton2009
YIL161W,1.01532,Barton2009
YIL128W,0.34146,Barton2009
YIL151C,0.30308,Barton2009
YIL162W,0.14176,Barton2009
YIL115C,1.01517,Barton2009
YIR005W,0.527,Barton2009
YIR004W,0.30581,Barton2009
YIR009W,0.24447,Barton2009
YIR008C,0.1496,Barton2009
YIR015W,0.46981,Barton2009
YIR013C,0.41429,Barton2009
YIL156W,0.31634,Barton2009
YIR012W,0.17444,Barton2009
YIR017C,0.22522,Barton2009
YIR022W,0.09352,Barton2009
YIR010W,0.39556,Barton2009
YIR011C,0.34428,Barton2009
YIR003W,1.4045,Barton2009
YIR007W,0.32179,Barton2009
YIR024C,0.66434,Barton2009
YIL159W,0.47608,Barton2009
YIR016W,1.07009,Barton2009
YIR026C,0.16329,Barton2009
YIR025W,0.59095,Barton2009
YIR002C,0.42892,Barton2009
YIR027C,0.3009,Barton2009
YIR029W,0.30208,Barton2009
YIR028W,0.1267,Barton2009
YIR035C,0.19139,Barton2009
YIR037W,0.13957,Barton2009
YIR036C,0.3506,Barton2009
YIR032C,0.40544,Barton2009
YIR030C,0.4666,Barton2009
YIR034C,0.13694,Barton2009
YJL003W,0.14204,Barton2009
YJL004C,0.33348,Barton2009
YIR023W,0.27584,Barton2009
YJL002C,0.40844,Barton2009
YIR031C,0.09443,Barton2009
YJL014W,0.04118,Barton2009
YJL010C,0.20553,Barton2009
YJL030W,0.17906,Barton2009
YJL023C,0.77153,Barton2009
YJL025W,0.3792,Barton2009
YJL044C,0.38471,Barton2009
YJL043W,0.86306,Barton2009
YJL033W,0.34233,Barton2009
YJL059W,0.2717,Barton2009
YJL058C,0.37861,Barton2009
YJL060W,0.14336,Barton2009
YIR033W,0.29057,Barton2009
YJL063C,0.35249,Barton2009
YJL048C,0.40486,Barton2009
YJL065C,0.4308,Barton2009
YJL047C,0.57851,Barton2009
YJL029C,0.29723,Barton2009
YJL051W,0.42725,Barton2009
YJL068C,0.33127,Barton2009
YJL072C,0.22895,Barton2009
YJL066C,0.37994,Barton2009
YJL020C,0.92587,Barton2009
YJL061W,0.56655,Barton2009
YJL062W,0.35158,Barton2009
YJL050W,0.35878,Barton2009
YJL081C,0.22361,Barton2009
YJL088W,0.18568,Barton2009
YJL085W,0.11862,Barton2009
YJL049W,4.64007,Barton2009
YJL082W,0.15159,Barton2009
YJL073W,1.73334,Barton2009
YJL087C,0.45432,Barton2009
